agency_cd,site_no,datetime,105402_00060_00003,105402_00060_00003_cd
5s,15s,20d,14n,10s
USGS,1435000,1/1/2012,240,0
USGS,1435000,1/2/2012,243,0
USGS,1435000,1/3/2012,205,0
USGS,1435000,1/4/2012,187,0
USGS,1435000,1/5/2012,160,0
USGS,1435000,1/6/2012,176,0
USGS,1435000,1/7/2012,160,0
USGS,1435000,1/8/2012,149,0.01059441
USGS,1435000,1/9/2012,138,0.03178323
USGS,1435000,1/10/2012,132,0.05650352
USGS,1435000,1/11/2012,125,0.10241263
USGS,1435000,1/12/2012,159,0.14479027
USGS,1435000,1/13/2012,194,0.18716791
USGS,1435000,1/14/2012,130,0.22954555
USGS,1435000,1/15/2012,110,0.48027992
USGS,1435000,1/16/2012,110,0.67804224
USGS,1435000,1/17/2012,120,0.82636398
USGS,1435000,1/18/2012,120,0.94290249
USGS,1435000,1/19/2012,110,2.34842755
USGS,1435000,1/20/2012,100,3.30898739
USGS,1435000,1/21/2012,100,3.97290375
USGS,1435000,1/22/2012,100,4.4496522
USGS,1435000,1/23/2012,130,4.79926773
USGS,1435000,1/24/2012,299,5.07119092
USGS,1435000,1/25/2012,190,5.29367353
USGS,1435000,1/26/2012,158,5.48084144
USGS,1435000,1/27/2012,962,5.65388347
USGS,1435000,1/28/2012,608,5.80926815
USGS,1435000,1/29/2012,416,5.96112136
USGS,1435000,1/30/2012,331,8.16122717
USGS,1435000,1/31/2012,283,9.72919985
USGS,1435000,2/1/2012,282,10.77451497
USGS,1435000,2/2/2012,277,11.47374603
USGS,1435000,2/3/2012,233,11.93990007
USGS,1435000,2/4/2012,214,12.25773237
USGS,1435000,2/5/2012,199,12.47315204
USGS,1435000,2/6/2012,185,12.8192361
USGS,1435000,2/7/2012,178,13.05584459
USGS,1435000,2/8/2012,165,13.22182368
USGS,1435000,2/9/2012,155,15.20650982
USGS,1435000,2/10/2012,146,16.60144047
USGS,1435000,2/11/2012,143,17.5514059
USGS,1435000,2/12/2012,129,18.20119638
USGS,1435000,2/13/2012,130,18.66028748
USGS,1435000,2/14/2012,124,19.52196616
USGS,1435000,2/15/2012,121,20.26004339
USGS,1435000,2/16/2012,117,20.76857507
USGS,1435000,2/17/2012,115,21.12172207
USGS,1435000,2/18/2012,107,21.37598791
USGS,1435000,2/19/2012,103,21.55962435
USGS,1435000,2/20/2012,97.8,21.74326079
USGS,1435000,2/21/2012,97.8,21.88098812
USGS,1435000,2/22/2012,96,21.97986928
USGS,1435000,2/23/2012,99.4,22.05756162
USGS,1435000,2/24/2012,103,22.11406514
USGS,1435000,2/25/2012,97.5,23.91511484
USGS,1435000,2/26/2012,87.6,25.08403141
