agency_cd,site_no,datetime,105402_00060_00003,105402_00060_00003_cd
5s,15s,20d,14n,10s
USGS,1435000,1/1/2012,240,A
USGS,1435000,1/2/2012,243,A
USGS,1435000,1/3/2012,205,A
USGS,1435000,1/4/2012,187,A
USGS,1435000,1/5/2012,160,A
USGS,1435000,1/6/2012,176,A:e
USGS,1435000,1/7/2012,160,A
USGS,1435000,1/8/2012,149,A
USGS,1435000,1/9/2012,138,A
USGS,1435000,1/10/2012,132,A
USGS,1435000,1/11/2012,125,A
USGS,1435000,1/12/2012,159,A
USGS,1435000,1/13/2012,194,A
USGS,1435000,1/14/2012,130,A
USGS,1435000,1/15/2012,110,A:e
USGS,1435000,1/16/2012,110,A:e
USGS,1435000,1/17/2012,120,A:e
USGS,1435000,1/18/2012,120,A:e
USGS,1435000,1/19/2012,110,A:e
USGS,1435000,1/20/2012,100,A:e
USGS,1435000,1/21/2012,100,A:e
USGS,1435000,1/22/2012,100,A:e
USGS,1435000,1/23/2012,130,A
USGS,1435000,1/24/2012,299,A
USGS,1435000,1/25/2012,190,A
USGS,1435000,1/26/2012,158,A
USGS,1435000,1/27/2012,962,A
USGS,1435000,1/28/2012,608,A
USGS,1435000,1/29/2012,416,A
USGS,1435000,1/30/2012,331,A
USGS,1435000,1/31/2012,283,A
USGS,1435000,2/1/2012,282,A
USGS,1435000,2/2/2012,277,A
USGS,1435000,2/3/2012,233,A
USGS,1435000,2/4/2012,214,A
USGS,1435000,2/5/2012,199,A
USGS,1435000,2/6/2012,185,A
USGS,1435000,2/7/2012,178,A
USGS,1435000,2/8/2012,165,A
USGS,1435000,2/9/2012,155,A
USGS,1435000,2/10/2012,146,A
USGS,1435000,2/11/2012,143,A
USGS,1435000,2/12/2012,129,A
USGS,1435000,2/13/2012,130,A
USGS,1435000,2/14/2012,124,A
USGS,1435000,2/15/2012,121,A
USGS,1435000,2/16/2012,117,A
USGS,1435000,2/17/2012,115,A
USGS,1435000,2/18/2012,107,A
USGS,1435000,2/19/2012,103,A
USGS,1435000,2/20/2012,97.8,A
USGS,1435000,2/21/2012,97.8,A
USGS,1435000,2/22/2012,96,A
USGS,1435000,2/23/2012,99.4,A
USGS,1435000,2/24/2012,103,A
USGS,1435000,2/25/2012,97.5,A
USGS,1435000,2/26/2012,87.6,A
USGS,1435000,2/27/2012,90.2,A
USGS,1435000,2/28/2012,84.5,A
USGS,1435000,2/29/2012,83.6,A
USGS,1435000,3/1/2012,88.1,A
USGS,1435000,3/2/2012,82.2,A
USGS,1435000,3/3/2012,102,A
USGS,1435000,3/4/2012,105,A
USGS,1435000,3/5/2012,83.1,A
USGS,1435000,3/6/2012,80,A
USGS,1435000,3/7/2012,84,A:e
USGS,1435000,3/8/2012,137,A
USGS,1435000,3/9/2012,289,A
USGS,1435000,3/10/2012,171,A
USGS,1435000,3/11/2012,147,A
USGS,1435000,3/12/2012,172,A
USGS,1435000,3/13/2012,296,A
